Year,Type,Total,,,
2007,Ideological Causes/Hero Worshipping,0,,,
2007,Suspected/Illicit Relation,0,,,
2007,Unemployment,0,,,
2007,Not having Children(Barrenness/Impotency,0,,,
2007,Cancer,0,,,
2007,Failure in Examination,0,,,
2007,Insanity/Mental Illness,0,,,
2007,Other Causes (Please Specity),0,,,
2007,Bankruptcy,0,,,
2007,Illegitimate Pregnancy,0,,,
2007,Professional/Career Problem,0,,,
2007,Property Dispute,0,,,
2007,Drug Abuse/Addiction,0,,,
2007,Poverty,0,,,
2007,Death of Dear Person,0,,,
2007,Divorce,0,,,
2007,Family Problems,0,,,
2007,Fall in Social Reputation,0,,,
2007,Illness (Aids/STD),0,,,
2007,Paralysis,0,,,
2007,Cancellation of Marriage,0,,,
2007,Other Prolonged Illness,0,,,
2007,Physical Abuse (Rape/Incest Etc.),0,,,
2008,Drug Abuse/Addiction,0,,,
2008,Suspected/Illicit Relation,0,,,
2008,Bankruptcy,0,,,
2008,Unemployment,0,,,
2008,Illness (Aids/STD),0,,,
2008,Professional/Career Problem,0,,,
2008,Love Affairs,0,,,
2008,Poverty,0,,,
2008,Death of Dear Person,0,,,
2008,Divorce,0,,,
2008,Illegitimate Pregnancy,0,,,
2008,Paralysis,0,,,
2008,Family Problems,0,,,
2008,Cancellation of Marriage,0,,,
2008,Fall in Social Reputation,0,,,
2008,Causes Not known,0,,,
2008,Dowry Dispute,0,,,
2008,Not having Children(Barrenness/Impotency,0,,,
2008,Cancer,0,,,
2008,Ideological Causes/Hero Worshipping,0,,,
2008,Physical Abuse (Rape/Incest Etc.),0,,,
2008,Other Causes (Please Specity),0,,,
2008,Property Dispute,0,,,
2008,Other Prolonged Illness,0,,,
2008,Failure in Examination,0,,,
2008,Insanity/Mental Illness,0,,,
2008,Failure in Examination,0,,,
2008,Fall in Social Reputation,0,,,
2008,Love Affairs,0,,,
2008,Poverty,0,,,
2008,Death of Dear Person,0,,,
2008,Cancellation of Marriage,0,,,
2008,Family Problems,0,,,
2008,Physical Abuse (Rape/Incest Etc.),0,,,
2008,Property Dispute,0,,,
2008,Ideological Causes/Hero Worshipping,0,,,
2008,Professional/Career Problem,0,,,
2008,Bankruptcy,0,,,
2008,Insanity/Mental Illness,0,,,
2008,Other Prolonged Illness,0,,,
2008,Cancer,0,,,
2008,Unemployment,0,,,
2008,Dowry Dispute,0,,,
2008,Drug Abuse/Addiction,0,,,
2008,Suspected/Illicit Relation,0,,,
2008,Not having Children(Barrenness/Impotency,0,,,
2008,Illness (Aids/STD),0,,,
2008,Paralysis,0,,,
2008,Divorce,0,,,
2008,Illegitimate Pregnancy,0,,,
2008,Causes Not known,0,,,
2008,Other Causes (Please Specity),0,,,
2008,Death of Dear Person,0,,,
2008,Professional/Career Problem,0,,,
2008,Property Dispute,0,,,
2008,Insanity/Mental Illness,0,,,
2008,Drug Abuse/Addiction,0,,,
2008,Not having Children(Barrenness/Impotency,0,,,
2008,Suspected/Illicit Relation,0,,,
2008,Illness (Aids/STD),0,,,
2008,Physical Abuse (Rape/Incest Etc.),0,,,
2008,Love Affairs,0,,,
2008,Poverty,0,,,
2008,Failure in Examination,0,,,
2008,Cancer,0,,,
2008,Bankruptcy,0,,,
2008,Cancellation of Marriage,0,,,
2008,Dowry Dispute,0,,,
2008,Ideological Causes/Hero Worshipping,0,,,
2008,Fall in Social Reputation,0,,,
2008,Other Prolonged Illness,0,,,
2008,Paralysis,0,,,
2008,Illegitimate Pregnancy,0,,,
2008,Unemployment,0,,,
2008,Divorce,0,,,
2008,Cancer,0,,,
2008,Physical Abuse (Rape/Incest Etc.),0,,,
2008,Fall in Social Reputation,0,,,
2008,Bankruptcy,0,,,
2008,Illegitimate Pregnancy,0,,,
2008,Family Problems,0,,,
2008,Suspected/Illicit Relation,0,,,
2008,Property Dispute,0,,,
2008,Cancellation of Marriage,0,,,
2008,Other Prolonged Illness,0,,,
2008,Unemployment,0,,,
2008,Drug Abuse/Addiction,0,,,
2008,Failure in Examination,0,,,
2008,Death of Dear Person,0,,,
2008,Dowry Dispute,0,,,
2008,Ideological Causes/Hero Worshipping,0,,,
2008,Illness (Aids/STD),0,,,
2008,Insanity/Mental Illness,0,,,
2008,Professional/Career Problem,0,,,
2008,Love Affairs,0,,,
2008,Divorce,0,,,
2008,Not having Children(Barrenness/Impotency,0,,,
2008,Poverty,0,,,
2008,Paralysis,0,,,
2008,Cancer,0,,,
2008,Bankruptcy,0,,,
2008,Ideological Causes/Hero Worshipping,0,,,
2008,Love Affairs,0,,,
2008,Cancellation of Marriage,0,,,
2008,Causes Not known,0,,,
2008,Failure in Examination,0,,,
2008,Drug Abuse/Addiction,0,,,
2008,Illness (Aids/STD),0,,,
2008,Paralysis,0,,,
2008,Poverty,0,,,
2008,Unemployment,0,,,
2008,Professional/Career Problem,0,,,
2008,Property Dispute,0,,,
2008,Fall in Social Reputation,0,,,
2008,Physical Abuse (Rape/Incest Etc.),0,,,
2008,Other Prolonged Illness,0,,,
2008,Dowry Dispute,0,,,
2008,Suspected/Illicit Relation,0,,,
2008,Insanity/Mental Illness,0,,,
2008,Death of Dear Person,0,,,
2008,Illegitimate Pregnancy,0,,,
2008,Divorce,0,,,
2008,Family Problems,0,,,
2008,Not having Children(Barrenness/Impotency,0,,,
2008,Failure in Examination,0,,,
2008,Illness (Aids/STD),0,,,
2008,Poverty,0,,,
2008,Death of Dear Person,0,,,
2008,Family Problems,0,,,
2008,Divorce,0,,,
2008,Dowry Dispute,0,,,
2008,Not having Children(Barrenness/Impotency,0,,,
2008,Suspected/Illicit Relation,0,,,
2008,Love Affairs,0,,,
2008,Paralysis,0,,,
2008,Ideological Causes/Hero Worshipping,0,,,
2008,Insanity/Mental Illness,0,,,
2008,Professional/Career Problem,0,,,
2008,Bankruptcy,0,,,
2008,Cancellation of Marriage,0,,,
2008,Illegitimate Pregnancy,0,,,
2008,Other Prolonged Illness,0,,,
2008,Physical Abuse (Rape/Incest Etc.),0,,,
2008,Property Dispute,0,,,
2008,Fall in Social Reputation,0,,,
2008,Unemployment,0,,,
2008,Cancer,0,,,
2008,Cancellation of Marriage,0,,,
2008,Causes Not known,0,,,
2008,Paralysis,0,,,
2008,Divorce,0,,,
2008,Drug Abuse/Addiction,0,,,
2008,Suspected/Illicit Relation,0,,,
2008,Ideological Causes/Hero Worshipping,0,,,
2008,Unemployment,0,,,
2008,Bankruptcy,0,,,
2008,Cancer,0,,,
2008,Not having Children(Barrenness/Impotency,0,,,
2008,Failure in Examination,0,,,
2008,Insanity/Mental Illness,0,,,
2008,Other Causes (Please Specity),0,,,
2008,Dowry Dispute,0,,,
2008,Love Affairs,0,,,
2008,Death of Dear Person,0,,,
2008,Family Problems,0,,,
2008,Professional/Career Problem,0,,,
2008,Poverty,0,,,
2008,Other Prolonged Illness,0,,,
2008,Physical Abuse (Rape/Incest Etc.),0,,,
2008,Fall in Social Reputation,0,,,
2008,Illness (Aids/STD),0,,,
2008,Property Dispute,0,,,
2008,Illegitimate Pregnancy,0,,,
2008,Cancer,0,,,
2008,Drug Abuse/Addiction,0,,,
2008,Paralysis,0,,,
2008,Dowry Dispute,0,,,
2008,Ideological Causes/Hero Worshipping,0,,,
2008,Failure in Examination,0,,,
2008,Illness (Aids/STD),0,,,
2008,Bankruptcy,0,,,
2008,Illegitimate Pregnancy,0,,,
2008,Unemployment,0,,,
2008,Physical Abuse (Rape/Incest Etc.),0,,,
2008,Other Prolonged Illness,0,,,
2008,Death of Dear Person,0,,,
2008,Suspected/Illicit Relation,0,,,
2008,Fall in Social Reputation,0,,,
2008,Insanity/Mental Illness,0,,,
2008,Professional/Career Problem,0,,,
2008,Property Dispute,0,,,
2008,Cancellation of Marriage,0,,,
2008,Not having Children(Barrenness/Impotency,0,,,
2008,Divorce,0,,,
2008,Love Affairs,0,,,
2008,Poverty,0,,,
2008,Cancellation of Marriage,0,,,
2008,Causes Not known,0,,,
2008,Fall in Social Reputation,0,,,
2008,Drug Abuse/Addiction,0,,,
2008,Not having Children(Barrenness/Impotency,0,,,
2008,Death of Dear Person,0,,,
2008,Dowry Dispute,0,,,
2008,Ideological Causes/Hero Worshipping,0,,,
2008,Property Dispute,0,,,
2008,Failure in Examination,0,,,
2008,Illness (Aids/STD),0,,,
2008,Unemployment,0,,,
2008,Other Causes (Please Specity),0,,,
2008,Paralysis,0,,,
2008,Bankruptcy,0,,,
2008,Cancer,0,,,
2008,Physical Abuse (Rape/Incest Etc.),0,,,
2008,Suspected/Illicit Relation,0,,,
2008,Illegitimate Pregnancy,0,,,
2008,Love Affairs,0,,,
2008,Poverty,0,,,
2008,Other Prolonged Illness,0,,,
2008,Family Problems,0,,,
2008,Insanity/Mental Illness,0,,,
2008,Professional/Career Problem,0,,,
2008,Divorce,0,,,
2008,Property Dispute,0,,,
2008,Paralysis,0,,,
2008,Divorce,0,,,
2008,Unemployment,0,,,
2008,Death of Dear Person,0,,,
2008,Poverty,0,,,
2008,Illness (Aids/STD),0,,,
2008,Other Causes (Please Specity),0,,,
2008,Ideological Causes/Hero Worshipping,0,,,
2008,Fall in Social Reputation,0,,,
2008,Drug Abuse/Addiction,0,,,
2008,Bankruptcy,0,,,
2008,Cancellation of Marriage,0,,,
2008,Family Problems,0,,,
2008,Professional/Career Problem,0,,,
2008,Insanity/Mental Illness,0,,,
2008,Illegitimate Pregnancy,0,,,
2008,Physical Abuse (Rape/Incest Etc.),0,,,
2008,Dowry Dispute,0,,,
2008,Suspected/Illicit Relation,0,,,
2008,Failure in Examination,0,,,
2008,Other Prolonged Illness,0,,,
2008,Love Affairs,0,,,
2008,Not having Children(Barrenness/Impotency,0,,,
2008,Cancer,0,,,
2008,Causes Not known,0,,,
2009,Death of Dear Person,0,,,
2009,Family Problems,0,,,
2009,Professional/Career Problem,0,,,
2009,Drug Abuse/Addiction,0,,,
2009,Other Prolonged Illness,0,,,
2009,Physical Abuse (Rape/Incest Etc.),0,,,
2009,Cancellation of Marriage,0,,,
2009,Causes Not known,0,,,
2009,Cancer,0,,,
2009,Dowry Dispute,0,,,
2009,Fall in Social Reputation,0,,,
2009,Ideological Causes/Hero Worshipping,0,,,
2009,Insanity/Mental Illness,0,,,
2009,Love Affairs,0,,,
2009,Paralysis,0,,,
2009,Property Dispute,0,,,
2009,Failure in Examination,0,,,
2009,Other Causes (Please Specity),0,,,
2009,Poverty,0,,,
2009,Suspected/Illicit Relation,0,,,
2009,Illness (Aids/STD),0,,,
2009,Bankruptcy,0,,,
2009,Illegitimate Pregnancy,0,,,
2009,Divorce,0,,,
2009,Not having Children(Barrenness/Impotency,0,,,
2009,Unemployment,0,,,
2009,Drug Abuse/Addiction,0,,,
2009,Dowry Dispute,0,,,
2009,Paralysis,0,,,
2009,Cancellation of Marriage,0,,,
2009,Illegitimate Pregnancy,0,,,
2009,Illness (Aids/STD),0,,,
2009,Death of Dear Person,0,,,
2009,Divorce,0,,,
2009,Failure in Examination,0,,,
2009,Insanity/Mental Illness,0,,,
2009,Professional/Career Problem,0,,,
2009,Bankruptcy,0,,,
2009,Other Prolonged Illness,0,,,
2009,Love Affairs,0,,,
2009,Poverty,0,,,
2009,Family Problems,0,,,
2009,Ideological Causes/Hero Worshipping,0,,,
2009,Property Dispute,0,,,
2009,Fall in Social Reputation,0,,,
2009,Cancer,0,,,
2009,Other Causes (Please Specity),0,,,
2009,Physical Abuse (Rape/Incest Etc.),0,,,
2009,Unemployment,0,,,
2009,Not having Children(Barrenness/Impotency,0,,,
2009,Suspected/Illicit Relation,0,,,
2009,Cancellation of Marriage,0,,,
2009,Divorce,0,,,
2009,Cancer,0,,,
2009,Dowry Dispute,0,,,
2009,Ideological Causes/Hero Worshipping,0,,,
2009,Fall in Social Reputation,0,,,
2009,Physical Abuse (Rape/Incest Etc.),0,,,
2009,Bankruptcy,0,,,
2009,Illegitimate Pregnancy,0,,,
2009,Not having Children(Barrenness/Impotency,0,,,
2009,Unemployment,0,,,
2009,Other Prolonged Illness,0,,,
2009,Failure in Examination,0,,,
2009,Love Affairs,0,,,
2009,Property Dispute,0,,,
2009,Death of Dear Person,0,,,
2009,Professional/Career Problem,0,,,
2009,Illness (Aids/STD),0,,,
2009,Poverty,0,,,
2009,Drug Abuse/Addiction,0,,,
2009,Paralysis,0,,,
2009,Insanity/Mental Illness,0,,,
2009,Suspected/Illicit Relation,0,,,
2009,Family Problems,0,,,
2009,Death of Dear Person,0,,,
2009,Failure in Examination,0,,,
2009,Cancer,0,,,
2009,Not having Children(Barrenness/Impotency,0,,,
2009,Divorce,0,,,
2009,Drug Abuse/Addiction,0,,,
2009,Illegitimate Pregnancy,0,,,
2009,Professional/Career Problem,0,,,
2009,Physical Abuse (Rape/Incest Etc.),0,,,
2009,Other Prolonged Illness,0,,,
2009,Bankruptcy,0,,,
2009,Illness (Aids/STD),0,,,
2009,Paralysis,0,,,
2009,Other Causes (Please Specity),0,,,
2009,Unemployment,0,,,
2009,Cancellation of Marriage,0,,,
2009,Insanity/Mental Illness,0,,,
2009,Property Dispute,0,,,
2009,Fall in Social Reputation,0,,,
2009,Love Affairs,0,,,
2009,Poverty,0,,,
2009,Dowry Dispute,0,,,
2009,Ideological Causes/Hero Worshipping,0,,,
2009,Paralysis,0,,,
2009,Fall in Social Reputation,0,,,
2009,Insanity/Mental Illness,0,,,
2009,Death of Dear Person,0,,,
2009,Property Dispute,0,,,
2009,Dowry Dispute,0,,,
2009,Suspected/Illicit Relation,0,,,
2009,Family Problems,0,,,
2009,Illegitimate Pregnancy,0,,,
2009,Illness (Aids/STD),0,,,
2009,Professional/Career Problem,0,,,
2009,Cancellation of Marriage,0,,,
2009,Cancer,0,,,
2009,Not having Children(Barrenness/Impotency,0,,,
2009,Love Affairs,0,,,
2009,Poverty,0,,,
2009,Divorce,0,,,
2009,Drug Abuse/Addiction,0,,,
2009,Unemployment,0,,,
2009,Bankruptcy,0,,,
2009,Other Causes (Please Specity),0,,,
2009,Ideological Causes/Hero Worshipping,0,,,
2009,Physical Abuse (Rape/Incest Etc.),0,,,
2009,Other Prolonged Illness,0,,,
2009,Failure in Examination,0,,,
2009,Poverty,0,,,
2009,Unemployment,0,,,
2009,Suspected/Illicit Relation,0,,,
2009,Fall in Social Reputation,0,,,
2009,Physical Abuse (Rape/Incest Etc.),0,,,
2009,Cancellation of Marriage,0,,,
2009,Dowry Dispute,0,,,
2009,Ideological Causes/Hero Worshipping,0,,,
2009,Love Affairs,0,,,
2009,Other Prolonged Illness,0,,,
2009,Professional/Career Problem,0,,,
2009,Property Dispute,0,,,
2009,Cancer,0,,,
2009,Failure in Examination,0,,,
2009,Other Causes (Please Specity),0,,,
2009,Illegitimate Pregnancy,0,,,
2009,Illness (Aids/STD),0,,,
2009,Paralysis,0,,,
2009,Not having Children(Barrenness/Impotency,0,,,
2009,Divorce,0,,,
2009,Family Problems,0,,,
2009,Death of Dear Person,0,,,
2009,Death of Dear Person,0,,,
2009,Unemployment,0,,,
2009,Love Affairs,0,,,
2009,Cancer,0,,,
2009,Property Dispute,0,,,
2009,Other Causes (Please Specity),0,,,
2009,Other Prolonged Illness,0,,,
2009,Ideological Causes/Hero Worshipping,0,,,
2009,Poverty,0,,,
2009,Fall in Social Reputation,0,,,
2009,Illness (Aids/STD),0,,,
2009,Physical Abuse (Rape/Incest Etc.),0,,,
2009,Divorce,0,,,
2009,Suspected/Illicit Relation,0,,,
2009,Causes Not known,0,,,
2009,Paralysis,0,,,
2009,Bankruptcy,0,,,
2009,Cancellation of Marriage,0,,,
2009,Illegitimate Pregnancy,0,,,
2009,Drug Abuse/Addiction,0,,,
2009,Not having Children(Barrenness/Impotency,0,,,
2009,Failure in Examination,0,,,
2009,Professional/Career Problem,0,,,
2009,Family Problems,0,,,
2009,Dowry Dispute,0,,,
2009,Insanity/Mental Illness,0,,,
2009,Insanity/Mental Illness,0,,,
2009,Physical Abuse (Rape/Incest Etc.),0,,,
2009,Professional/Career Problem,0,,,
2009,Failure in Examination,0,,,
2009,Death of Dear Person,0,,,
2009,Love Affairs,0,,,
2009,Suspected/Illicit Relation,0,,,
2009,Other Prolonged Illness,0,,,
2009,Poverty,0,,,
2009,Divorce,0,,,
2009,Drug Abuse/Addiction,0,,,
2009,Unemployment,0,,,
2009,Dowry Dispute,0,,,
2009,Ideological Causes/Hero Worshipping,0,,,
2009,Other Causes (Please Specity),0,,,
2009,Cancer,0,,,
2009,Bankruptcy,0,,,
2009,Illegitimate Pregnancy,0,,,
2009,Paralysis,0,,,
2009,Cancellation of Marriage,0,,,
2009,Illness (Aids/STD),0,,,
2009,Property Dispute,0,,,
2009,Fall in Social Reputation,0,,,
2009,Not having Children(Barrenness/Impotency,0,,,
2009,Poverty,0,,,
2009,Physical Abuse (Rape/Incest Etc.),0,,,
2009,Property Dispute,0,,,
2009,Other Causes (Please Specity),0,,,
2009,Insanity/Mental Illness,0,,,
2009,Other Prolonged Illness,0,,,
2009,Unemployment,0,,,
2009,Love Affairs,0,,,
2009,Divorce,0,,,
2009,Cancer,0,,,
2009,Bankruptcy,0,,,
2009,Fall in Social Reputation,0,,,
2009,Ideological Causes/Hero Worshipping,0,,,
2009,Drug Abuse/Addiction,0,,,
2009,Failure in Examination,0,,,
2009,Death of Dear Person,0,,,
2009,Family Problems,0,,,
2009,Professional/Career Problem,0,,,
2009,Paralysis,0,,,
2009,Illegitimate Pregnancy,0,,,
2009,Not having Children(Barrenness/Impotency,0,,,
2009,Cancellation of Marriage,0,,,
2009,Causes Not known,0,,,
2009,Dowry Dispute,0,,,
2009,Illness (Aids/STD),0,,,
2009,Suspected/Illicit Relation,0,,,
2009,Death of Dear Person,0,,,
2009,Family Problems,0,,,
2009,Divorce,0,,,
2009,Insanity/Mental Illness,0,,,
2009,Professional/Career Problem,0,,,
2009,Cancer,0,,,
2009,Fall in Social Reputation,0,,,
2009,Love Affairs,0,,,
2009,Other Prolonged Illness,0,,,
2009,Illegitimate Pregnancy,0,,,
2009,Property Dispute,0,,,
2009,Drug Abuse/Addiction,0,,,
2009,Not having Children(Barrenness/Impotency,0,,,
2009,Suspected/Illicit Relation,0,,,
2009,Physical Abuse (Rape/Incest Etc.),0,,,
2009,Dowry Dispute,0,,,
2009,Failure in Examination,0,,,
2009,Illness (Aids/STD),0,,,
2009,Unemployment,0,,,
2009,Causes Not known,0,,,
2009,Paralysis,0,,,
2009,Ideological Causes/Hero Worshipping,0,,,
2009,Bankruptcy,0,,,
2009,Cancellation of Marriage,0,,,
2009,Other Causes (Please Specity),0,,,
2009,Poverty,0,,,
2010,Love Affairs,0,,,
2010,Insanity/Mental Illness,0,,,
2010,Causes Not known,0,,,
2010,Fall in Social Reputation,0,,,
2010,Not having Children(Barrenness/Impotency,0,,,
2010,Other Causes (Please Specity),0,,,
2010,Paralysis,0,,,
2010,Poverty,0,,,
2010,Suspected/Illicit Relation,0,,,
2010,Illness (Aids/STD),0,,,
2010,Cancellation of Marriage,0,,,
2010,Property Dispute,0,,,
2010,Failure in Examination,0,,,
2010,Professional/Career Problem,0,,,
2010,Other Prolonged Illness,0,,,
2010,Cancer,0,,,
2010,Divorce,0,,,
2010,Drug Abuse/Addiction,0,,,
2010,Physical Abuse (Rape/Incest Etc.),0,,,
2010,Unemployment,0,,,
2010,Dowry Dispute,0,,,
2010,Family Problems,0,,,
2010,Death of Dear Person,0,,,
2010,Bankruptcy,0,,,
2010,Ideological Causes/Hero Worshipping,0,,,
2010,Illegitimate Pregnancy,0,,,
2010,Dowry Dispute,0,,,
2010,Paralysis,0,,,
2010,Other Causes (Please Specity),0,,,
2010,Illegitimate Pregnancy,0,,,
2010,Not having Children(Barrenness/Impotency,0,,,
2010,Unemployment,0,,,
2010,Illness (Aids/STD),0,,,
2010,Suspected/Illicit Relation,0,,,
2010,Divorce,0,,,
2010,Fall in Social Reputation,0,,,
2010,Failure in Examination,0,,,
2010,Ideological Causes/Hero Worshipping,0,,,
2010,Property Dispute,0,,,
2010,Family Problems,0,,,
2010,Cancellation of Marriage,0,,,
2010,Causes Not known,0,,,
2010,Love Affairs,0,,,
2010,Cancer,0,,,
2010,Drug Abuse/Addiction,0,,,
2010,Physical Abuse (Rape/Incest Etc.),0,,,
2010,Insanity/Mental Illness,0,,,
2010,Poverty,0,,,
2010,Bankruptcy,0,,,
2010,Other Prolonged Illness,0,,,
2010,Death of Dear Person,0,,,
2010,Professional/Career Problem,0,,,
2010,Property Dispute,0,,,
2010,Death of Dear Person,0,,,
2010,Dowry Dispute,0,,,
2010,Ideological Causes/Hero Worshipping,0,,,
2010,Other Prolonged Illness,0,,,
2010,Cancer,0,,,
2010,Causes Not known,0,,,
2010,Illegitimate Pregnancy,0,,,
2010,Drug Abuse/Addiction,0,,,
2010,Bankruptcy,0,,,
2010,Family Problems,0,,,
2010,Cancellation of Marriage,0,,,
2010,Not having Children(Barrenness/Impotency,0,,,
2010,Unemployment,0,,,
2010,Suspected/Illicit Relation,0,,,
2010,Fall in Social Reputation,0,,,
2010,Insanity/Mental Illness,0,,,
2010,Divorce,0,,,
2010,Professional/Career Problem,0,,,
2010,Love Affairs,0,,,
2010,Failure in Examination,0,,,
2010,Poverty,0,,,
2010,Physical Abuse (Rape/Incest Etc.),0,,,
2010,Illness (Aids/STD),0,,,
2010,Paralysis,0,,,
2010,Paralysis,0,,,
2010,Poverty,0,,,
2010,Professional/Career Problem,0,,,
2010,Failure in Examination,0,,,
2010,Illness (Aids/STD),0,,,
2010,Cancellation of Marriage,0,,,
2010,Death of Dear Person,0,,,
2010,Insanity/Mental Illness,0,,,
2010,Drug Abuse/Addiction,0,,,
2010,Dowry Dispute,0,,,
2010,Ideological Causes/Hero Worshipping,0,,,
2010,Love Affairs,0,,,
2010,Unemployment,0,,,
2010,Fall in Social Reputation,0,,,
2010,Bankruptcy,0,,,
2010,Illegitimate Pregnancy,0,,,
2010,Cancer,0,,,
2010,Not having Children(Barrenness/Impotency,0,,,
2010,Divorce,0,,,
2010,Suspected/Illicit Relation,0,,,
2010,Family Problems,0,,,
2010,Other Prolonged Illness,0,,,
2010,Other Causes (Please Specity),0,,,
2010,Physical Abuse (Rape/Incest Etc.),0,,,
2010,Property Dispute,0,,,
2010,Suspected/Illicit Relation,0,,,
2010,Cancellation of Marriage,0,,,
2010,Other Prolonged Illness,0,,,
2010,Physical Abuse (Rape/Incest Etc.),0,,,
2010,Failure in Examination,0,,,
2010,Insanity/Mental Illness,0,,,
2010,Other Causes (Please Specity),0,,,
2010,Unemployment,0,,,
2010,Illegitimate Pregnancy,0,,,
2010,Professional/Career Problem,0,,,
2010,Divorce,0,,,
2010,Causes Not known,0,,,
2010,Drug Abuse/Addiction,0,,,
2010,Not having Children(Barrenness/Impotency,0,,,
2010,Dowry Dispute,0,,,
2010,Poverty,0,,,
2010,Cancer,0,,,
2010,Paralysis,0,,,
2010,Death of Dear Person,0,,,
2010,Family Problems,0,,,
2010,Ideological Causes/Hero Worshipping,0,,,
2010,Love Affairs,0,,,
2010,Fall in Social Reputation,0,,,
2010,Illness (Aids/STD),0,,,
2010,Property Dispute,0,,,
2010,Bankruptcy,0,,,
2010,Paralysis,0,,,
2010,Cancer,0,,,
2010,Bankruptcy,0,,,
2010,Illegitimate Pregnancy,0,,,
2010,Fall in Social Reputation,0,,,
2010,Illness (Aids/STD),0,,,
2010,Property Dispute,0,,,
2010,Divorce,0,,,
2010,Unemployment,0,,,
2010,Not having Children(Barrenness/Impotency,0,,,
2010,Cancellation of Marriage,0,,,
2010,Drug Abuse/Addiction,0,,,
2010,Suspected/Illicit Relation,0,,,
2010,Professional/Career Problem,0,,,
2010,Failure in Examination,0,,,
2010,Love Affairs,0,,,
2010,Poverty,0,,,
2010,Death of Dear Person,0,,,
2010,Insanity/Mental Illness,0,,,
2010,Dowry Dispute,0,,,
2010,Ideological Causes/Hero Worshipping,0,,,
2010,Other Causes (Please Specity),0,,,
2010,Physical Abuse (Rape/Incest Etc.),0,,,
2010,Other Prolonged Illness,0,,,
2010,Illegitimate Pregnancy,0,,,
2010,Divorce,0,,,
2010,Dowry Dispute,0,,,
2010,Professional/Career Problem,0,,,
2010,Property Dispute,0,,,
2010,Bankruptcy,0,,,
2010,Death of Dear Person,0,,,
2010,Family Problems,0,,,
2010,Fall in Social Reputation,0,,,
2010,Insanity/Mental Illness,0,,,
2010,Suspected/Illicit Relation,0,,,
2010,Paralysis,0,,,
2010,Not having Children(Barrenness/Impotency,0,,,
2010,Ideological Causes/Hero Worshipping,0,,,
2010,Other Causes (Please Specity),0,,,
2010,Failure in Examination,0,,,
2010,Illness (Aids/STD),0,,,
2010,Causes Not known,0,,,
2010,Love Affairs,0,,,
2010,Poverty,0,,,
2010,Cancer,0,,,
2010,Drug Abuse/Addiction,0,,,
2010,Cancellation of Marriage,0,,,
2010,Physical Abuse (Rape/Incest Etc.),0,,,
